neuroticism,performance,job,salary
3.1999137649899425,51.564035905823104,technical,106243.0481807968
2.030238198547745,49.45049785487205,manager,112692.77616541035
4.269581234632583,52.50087173558242,technical,103622.36911934041
3.0250113830818663,42.01962789844709,technical,109914.36985458664
2.6616872577889725,70.3965976459355,manager,126709.84957381013
1.7612386778067957,39.980875129940074,technical,111984.06432172656
1.918611193901929,38.19221197469156,technical,102214.24243452278
4.008081344099297,40.48100755782532,manager,102516.79329169694
2.833092382833607,27.053453717058037,technical,95821.82140070954
2.88917505801222,53.456555379093196,manager,118659.42567854279
2.0499914079601744,30.705199650460834,technical,107272.48707784804
3.718906942834928,37.47451561196881,manager,110263.64803813334
4.609710924737536,41.31609984180447,manager,108142.51790348491
3.0108974241348627,60.04379224292374,technical,115224.07515282772
3.185475464673686,40.78876495296426,technical,107699.27693985058
2.2408592533707146,52.7924024506,technical,106668.0332628885
2.4871203627360714,37.27098020595784,technical,99974.80662655478
4.360390593742462,63.310751781846704,technical,106396.51491920392
3.5922353192764818,44.56324025265332,manager,111273.3795265422
2.6931519652368525,22.559614049135213,manager,102982.09282374821
4.981444205736484,58.76376130124886,technical,108007.25674185315
1.5854114212987045,53.69981122111332,manager,115849.64337904763
5.005816840912781,53.5057184358745,manager,116783.74052379982
3.806334429024072,42.698764369964145,manager,103250.19535400925
3.4650191976001827,50.42119920353494,technical,105876.75863456463
3.673023252670567,39.721646114942324,technical,101165.11005465066
2.5588209194659255,34.9860666082086,manager,112555.74548031336
3.6371903155143266,30.9748588516912,manager,109658.93760829276
2.515569354866997,17.37007578537779,technical,91503.88252877929
2.511160517915972,8.238459956980122,technical,89935.134089214
2.9311246450191204,50.35150060400198,manager,118976.89743693845
0.5948854525138549,34.017093678335534,manager,110432.53881776736
1.3889991227013605,43.1655825588531,technical,111256.36495294611
2.1874275572331596,46.91940058904158,technical,108850.77042222307
1.4901331909446298,38.38145698803538,technical,110107.27598145042
